team_1,team_2,tournament,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,goal_diff
18,90,35,-9,4,2,6,2,-1,-0.32,3.0,-10,1,1,3,-3,-4,-3.0,-2.39,-19,-18,-6,-27,4,24,12,16,1,-2
88,172,35,-2,2,-2,-2,1,0,1.48,3.04,-2,0,-4,1,2,-1,-0.54,2.13,-4,0,7,-14,13,-2,-19,-12,0,0
48,167,35,-3,1,5,5,-2,-1,7.449,4.53,24,-9,-9,-12,-11,-8,-2.55,-0.56,6,12,15,15,-5,10,-3,7,1,-1
11,82,35,-25,29,0,6,2,-3,-4.57,3.68,-10,4,-1,8,7,0,-0.55,-0.26,9,-5,-1,-25,24,7,16,7,1,-2
149,173,35,1,3,-7,0,-2,6,1.13,3.06,7,-5,-4,-3,-6,0,3.09,1.91,-7,-2,-19,6,-8,-16,0,-2,0,0
57,193,35,53,21,4,2,4,-2,-4.41,3.76,-15,7,8,5,7,7,0.09,-1.39,-6,12,3,21,11,-5,-6,-12,2,1
69,145,35,12,6,-10,9,0,-2,-4.569,4.05,-23,7,-4,9,8,9,-0.82,-1.22,8,5,12,1,7,7,1,0,0,0
90,172,35,3,6,2,1,1,-2,-2.71,3.06,-23,5,-1,6,7,7,-0.81,0.83,3,9,9,-4,5,-8,-15,-18,2,1
167,182,35,3,4,5,-1,-1,1,-7.5,4.15,-12,6,4,7,8,6,1.73,1.21,1,-12,-20,-4,-1,-8,-3,14,2,3
18,88,35,1,5,6,3,2,-2,-3.0869999999999997,3.37,-31,6,4,8,2,4,-3.27,-3.69,-12,-9,-4,-17,-4,18,16,10,2,3
11,146,35,1,5,-3,9,0,0,3.612,3.68,2,-6,-13,-3,-3,-7,-0.37,-0.48,6,17,31,-22,18,7,16,-5,0,0
65,173,35,4,9,8,0,4,0,-3.918,2.92,2,4,6,6,2,7,3.18,1.09,-14,-16,-10,-7,9,-15,1,0,0,0
150,193,35,4,3,2,11,1,0,-0.49,3.06,3,4,4,3,4,3,3.82,1.95,5,9,9,15,17,-1,-6,-8,1,-3
48,182,35,2,1,12,2,-3,0,-0.69,3.6,12,-3,-5,-5,-3,-2,-0.82,0.65,7,0,-5,11,-6,2,-6,21,1,-2
69,135,35,6,4,8,5,1,-4,-12.34,4.79,-21,13,10,16,11,15,-1.18,-2.44,6,-15,-2,3,1,4,7,-9,2,1
82,146,35,-7,3,-5,3,-2,3,7.87,4.01,12,-10,-12,-11,-10,-7,0.18,-0.22,-3,22,32,3,-6,0,0,-12,0,0
88,90,35,-6,3,-4,-3,-2,2,1.4,3.12,21,-5,-3,-5,-5,-8,0.27,1.3,-7,-9,-2,-10,8,6,-4,6,2,1
18,172,35,3,2,0,9,3,-4,-3.031,3.35,-33,6,0,9,4,3,-3.81,-1.56,-16,-9,3,-31,9,16,-3,-2,2,1
145,173,35,3,4,3,-4,1,2,-0.12,2.89,12,-2,6,-1,-7,0,1.36,0.52,-7,-17,-23,-12,13,-14,11,-1,0,0
135,193,35,-18,23,-3,-1,2,2,2.97,2.97,-1,-4,-6,-6,-4,-4,1.18,1.39,-3,11,-3,-1,22,-8,-3,-3,1,-1
65,88,35,2,5,10,2,6,-4,-7.468999999999999,3.8,-16,7,6,8,6,8,-0.09,-2.08,3,-9,9,2,2,-4,6,12,2,1
18,82,35,6,2,4,4,3,-3,-5.468999999999999,3.64,-18,10,7,14,8,5,-2.36,-1.69,-19,-17,-26,-22,4,11,9,-1,2,4
90,167,35,-1,13,-1,4,-1,0,2.4,2.93,6,-4,-2,-6,-4,-1,-1.09,0.7,11,16,4,19,-15,-3,-3,-25,2,2
145,146,35,-1,3,-1,-1,3,-1,1.32,2.93,19,-5,-3,-4,-7,-5,-0.82,-0.87,0,4,6,-5,8,-10,9,-12,0,0
18,193,35,1,3,2,6,4,-1,-2.969,3.39,-24,7,6,8,4,5,-0.54,-0.87,-27,-8,-17,-13,6,10,3,-13,1,-2
69,90,35,-7,10,0,0,0,-1,-1.58,3.06,-8,3,-1,5,0,2,-2.46,-2.57,11,-14,6,-12,21,10,13,17,0,0
146,193,35,1,0,1,0,1,2,-1.95,3.11,-18,7,11,5,6,7,1.64,1.04,-5,-13,-23,6,8,-1,-6,0,2,2
65,69,35,3,6,4,0,2,0,-0.17,3.0,13,-1,4,-2,1,-2,2.64,1.79,-15,-4,1,4,-11,-8,-11,1,2,2
65,146,35,11,1,7,3,4,-3,-2.04,3.08,9,1,-3,3,2,2,1.0,-0.3,-7,5,19,0,4,-11,-1,-11,1,-1
150,153,20,-1,0,6,-2,0,1,-7.61,4.35,3,7,8,5,4,2,-1.82,-0.3,-19,-17,-9,-11,-27,0,1,-17,2,5
55,188,20,-1,0,0,-3,1,-2,6.93,4.1,31,-4,-11,0,-6,-2,2.46,0.07,14,13,25,21,-12,0,-9,-30,1,-1
124,86,20,0,2,4,-1,1,-2,-1.94,2.98,4,2,0,4,4,0,2.27,-0.2,-31,-31,-9,21,-9,17,9,46,1,-1
146,167,20,-7,13,-16,-1,0,-1,2.34,3.28,-6,-1,4,-3,-3,-1,-1.18,-0.5,19,22,27,26,42,-9,-4,-14,0,0
65,10,20,1,1,9,-1,3,-3,-9.17,7.23,-29,13,17,12,12,4,-1.18,-1.48,-14,-19,-28,7,-31,4,-5,1,2,1
7,83,20,0,0,-3,1,0,2,-10.01,5.41,-17,9,11,4,7,7,1.0,1.12,-13,-12,-34,-20,-8,33,-4,-8,0,0
143,49,20,0,0,-4,-1,1,0,1.4,3.11,-1,-2,2,-4,-2,-2,0.82,0.78,3,-4,-22,38,11,-2,8,18,1,-1
44,133,20,0,0,-5,-2,0,-1,-4.46,3.79,-28,5,6,6,6,2,3.82,1.41,-17,-20,-27,3,-16,-9,-23,-7,2,2
43,156,20,0,0,-9,5,-3,0,3.52,3.43,-11,-5,-7,-8,-5,-3,1.09,3.13,-1,0,-6,44,-5,-1,-6,-5,1,-1
69,119,20,4,5,9,-2,1,1,-5.75,4.58,-14,7,4,6,8,3,-0.81,-2.65,-12,-6,-20,-20,-34,-2,0,20,1,-1
26,173,20,1,3,-5,-1,-2,2,-6.63,4.43,-4,8,11,8,6,5,0.36,1.96,-2,-3,-20,-22,7,30,14,3,0,0
172,165,20,1,2,1,-3,-1,-1,-1.66,3.05,-33,4,7,2,7,0,1.54,0.06,3,3,16,-22,-12,22,22,-31,2,1
18,140,20,0,0,22,-6,5,1,-16.4,6.77,-52,14,17,14,14,6,-3.82,0.14,-13,-14,-1,35,9,1,-5,-25,2,3
181,57,20,-1,1,0,3,0,-2,7.06,4.23,9,-8,-10,-9,-8,-5,3.18,0.5,36,29,48,-6,38,1,14,0,1,-1
39,93,20,2,1,5,-7,0,3,-3.22,3.34,-45,4,6,0,5,2,-1.28,0.08,-2,-3,10,-20,-7,-18,-14,28,1,-1
145,155,20,0,0,7,9,1,-4,-0.81,3.06,-19,4,6,1,2,-2,1.18,0.05,-2,1,-7,3,-14,-2,-27,-14,1,-1
150,55,20,0,0,7,9,-2,1,-2.36,3.57,25,3,4,0,1,1,-1.64,0.03,-2,0,5,-27,15,0,-15,15,2,2
146,124,20,-1,0,2,4,1,1,-4.34,3.7,-37,8,14,6,5,5,-1.0,0.7,13,12,16,0,4,23,24,-30,2,1
188,153,20,-1,1,4,-13,3,1,-16.78,6.73,-53,8,15,5,9,3,-2.64,-0.4,-31,-30,-39,-5,-30,0,25,-2,2,1
86,167,20,0,0,-20,-3,-1,0,18.11,6.86,27,-11,-10,-13,-12,-6,-2.45,-1.0,37,41,20,5,47,-49,-37,-30,1,-1
49,10,20,1,0,6,-9,3,-1,-2.78,3.44,-24,6,7,7,6,0,0.46,-0.58,1,4,16,-4,-21,25,10,-14,0,0
65,143,20,-1,0,8,6,1,-1,-5.0,3.87,-4,9,8,9,8,6,-2.46,-1.68,-18,-19,-22,-27,-21,-19,-23,-3,2,1
7,44,20,1,1,6,7,-1,2,-2.04,3.29,-15,4,5,0,3,3,1.27,1.89,-15,-11,-16,-22,-22,27,14,-22,1,-3
26,43,20,8,0,12,-11,4,2,-17.96,6.71,-21,13,18,12,11,7,-3.36,-1.15,2,-2,-11,-43,28,33,23,24,2,2
133,83,20,-1,0,-6,-1,0,0,0.27,3.1,26,0,0,-2,-2,2,-4.09,-2.18,19,19,9,-1,30,15,5,21,2,2
156,173,20,1,3,-7,2,-1,0,-0.2,3.05,28,0,0,4,0,1,2.63,-0.02,-3,-1,-3,-23,-16,-2,-3,-16,1,-1
18,181,20,0,1,23,-2,5,-1,-10.72,5.19,-18,10,12,11,11,4,-0.09,0.34,-36,-32,-43,31,-23,31,-3,-13,2,3
165,119,20,-3,2,-1,3,-2,1,4.03,3.81,42,-6,-10,-5,-7,-2,-0.54,-1.42,10,9,3,17,6,-24,-17,26,1,-1
69,172,20,3,9,3,2,0,1,-6.17,4.66,-23,9,7,9,8,5,-1.81,-1.29,-25,-18,-39,-15,-28,0,-5,25,2,1
57,140,20,0,0,2,-13,3,2,-17.51,6.48,-43,12,15,12,11,7,-6.91,-0.7,-13,-11,-6,10,-6,-31,-16,-12,2,5
